question_id,category,difficulty,context,question,gold_evidence,gold_answer
AR-1-015,analogical_reasoning,easy,"Ekosistemlerin canlılığını sürdürebilmesi için dışarıdan gelen enerjinin kullanılabilir bir kaynağa dönüştürülmesi gerekir. Doğada bitkiler, güneş ışığını kullanarak fotosentez yapar ve tüm canlılar için temel besin maddesi ile oksijeni üreten birincil kaynaklardır. Benzer bir üretim mantığı modern bir şehirde de mevcuttur: Fabrikalar ve üretim tesisleri, ham maddeleri işleyerek insanların ihtiyaç duyduğu ürünleri, araçları ve malzemeleri ortaya koyan temel merkezlerdir. Bu üretim noktaları olmadan sistemin ihtiyaç duyduğu temel kaynaklar sağlanamaz.","Doğadaki bitkilerin ""güneş enerjisini işleyerek sistem için gerekli temel besin ve kaynağı üretme"" işlevi dikkate alındığında; bir şehrin ekonomik ve fiziksel yapısındaki bu görevin karşılığı aşağıdakilerden hangisidir?","Doğada bitkiler, güneş ışığını kullanarak fotosentez yapar ve tüm canlılar için temel besin maddesi ile oksijeni üreten birincil kaynaklardır. | Fabrikalar ve üretim tesisleri, ham maddeleri işleyerek insanların ihtiyaç duyduğu ürünleri, araçları ve malzemeleri ortaya koyan temel merkezlerdir.",Fabrikalar
AR-2-053,analogical_reasoning,medium,"Bir şehirde yeni inşa edilen binaların elektrik ve su sistemlerine hemen bağlanabilmesi için şehir genelinde Standart Tesisat Arayüzleri (ortak boru uçları ve priz tipleri) kullanılır. Bu sayede her bina için sıfırdan bir şebeke tasarımı gerekmez. Benzer bir kolaylık yazılım dünyasında da mevcuttur: API (Uygulama Programlama Arayüzü), farklı yazılımların birbirine bağlanması için kullanılan standart kurallar ve bağlantı noktalarıdır. Bir geliştirici, sistemin iç yapısını bilmesine gerek kalmadan bu arayüz sayesinde kendi uygulamasını ana sisteme entegre edebilir.","Şehirdeki standart tesisat arayüzlerinin ""farklı yapıların ana sisteme karmaşa yaratmadan ve ortak kurallarla bağlanmasını sağlama"" işlevi dikkate alındığında; farklı yazılım servislerinin birbiriyle konuşmasını sağlayan bu standart bağlantı kapısının karşılığı nedir?","Bir şehirde yeni inşa edilen binaların elektrik ve su sistemlerine hemen bağlanabilmesi için şehir genelinde Standart Tesisat Arayüzleri (ortak boru uçları ve priz tipleri) kullanılır. Bu sayede her bina için sıfırdan bir şebeke tasarımı gerekmez."" | ""API (Uygulama Programlama Arayüzü), farklı yazılımların birbirine bağlanması için kullanılan standart kurallar ve bağlantı noktalarıdır. Bir geliştirici, sistemin iç yapısını bilmesine gerek kalmadan bu arayüz sayesinde kendi uygulamasını ana sisteme entegre edebilir.",API
AR-3-002,analogical_reasoning,hard,"Termodinamik Sistemler: ""Entropi"" yasasına göre, dışarıdan bir enerji girişi (iş) olmayan kapalı bir sistemde düzensizlik sürekli artar. Bu düzensizliği durdurmak veya sistemi eski haline getirmek için sisteme dışarıdan ""negatif entropi"" (bilgi veya enerji) enjekte edilmesi zorunludur. Kurumsal Organizasyonlar: Bir şirkette departmanlar arası iletişim kopukluğu ve süreçlerdeki hantallaşma, zamanla ""kurumsal körlük"" ve verimsizliğe yol açar. Bu hantallığı gidermek için yönetimin dışarıdan bir ""denetim"" veya ""yeniden yapılandırma"" müdahalesinde bulunması gerekir.","Termodinamik sistemlerdeki ""Enerji Girişi/İş"" kavramının, sistemdeki düzensizliği (entropiyi) azaltmadaki rolü dikkate alındığında; kurumsal bir organizasyonda bu işlevin tam karşılığı olan mekanizma aşağıdakilerden hangisidir?","Bu düzensizliği durdurmak veya sistemi eski haline getirmek için sisteme dışarıdan ""negatif entropi"" (bilgi veya enerji) enjekte edilmesi zorunludur. | Bu hantallığı gidermek için yönetimin dışarıdan bir ""denetim"" veya ""yeniden yapılandırma"" müdahalesinde bulunması gerekir.",Yeniden Yapılandırma
CR-1-009,causal_reasoning,easy,"Üniversite öğrencisi Pelin, kışın giymek için aldığı saf yün kazağını ilk kez yıkamaya karar vermiştir. Annesi telefonda ""Sakın Salı günü yıkama, Salı sallanır, işlerin ters gider,"" diye uyarsa da Pelin buna gülüp geçmiştir. Çamaşır makinesinin ayarlarını yaparken, kazağın üzerindeki ""Sadece Kuru Temizleme veya Soğuk Su"" etiketini okumamış ve temiz olsun diye 90 derece kaynar suda yıkamıştır. Makine bittiğinde, kazağın oyuncak bebek kıyafeti kadar küçüldüğünü (çektiğini) görmüştür. Pelin üzülerek, ""Annem haklıymış, Salı günü yıkadığım için kazak bozuldu,"" diye düşünmüştür.",Bu senaryoya göre; kazağın küçülmesini (çekmesini) engellemek için Pelin ne yapmalıydı?,"kazağın üzerindeki ""Sadece Kuru Temizleme veya Soğuk Su"" etiketini okumamış ve temiz olsun diye 90 derece kaynar suda yıkamıştır. | Makine bittiğinde, kazağın oyuncak bebek kıyafeti kadar küçüldüğünü (çektiğini) görmüştür.",Kazağı soğuk suda yıkamalıydı
CR-2-051,causal_reasoning,medium,"Müzik dersinde büyük bir davulun başına geçen Murat, tokmağı yavaşça vurduğunda kalın ve tok bir ""Güm"" sesi duymuştur. Öğretmeni ondan daha ince, tiz bir ses (örneğin bir kuş sesi gibi ""Cik"") çıkarmasını istemiştir. Murat, ""Eğer davula çok sert vurursam, ses sıkışır ve incelerek çıkar,"" diye düşünmüş ve tüm gücüyle davula vurmuştur. Ancak duyduğu ses ince bir ""Cik"" değil, sınıfın camlarını titreten gök gürültüsü gibi çok daha güçlü ve hala kalın bir ""GÜM"" olmuştur. Murat şaşırarak, ""Ama öğretmenim, o kadar sert vurdum ki sesin incelmesi gerekirdi,"" demiştir.",Bu senaryodaki vuruş denemesine göre; davula sert vurulmasına rağmen sesin incelmemesinin (tizleşmemesinin) fiziksel nedeni nedir?,"Ancak duyduğu ses ince bir ""Cik"" değil, sınıfın camlarını titreten gök gürültüsü gibi çok daha güçlü ve hala kalın bir ""GÜM"" olmuştur. | Murat şaşırarak, ""Ama öğretmenim, o kadar sert vurdum ki sesin incelmesi gerekirdi,"" demiştir.",Vuruş kuvvetinin sesin frekansını (inceliğini) değiştirmemesi
CR-3-060,causal_reasoning,hard,"Limanda babasıyla balık tutan Emre, elindeki küçük, paslı bir demir çiviyi denize fırlatmıştır. Çivi suya değer değmez ""lup"" diye dibe batmıştır. Ancak Emre kafasını kaldırdığında, hemen ileride tonlarca ağırlığındaki devasa bir yük gemisinin suyun üzerinde kuğu gibi süzüldüğünü görmüştür. Emre şaşkınlıkla, ""Baba bu çok saçma! Benim küçücük çivim battı ama o dağ gibi demir yığını batmıyor. Kesin o geminin altında dev pervaneler sürekli çalışıp suyu itiyor, yoksa motoru durduğu anda o da taş gibi dibe çökerdi,"" demiştir. Babası ise geminin motorlarının şu an kapalı olduğunu ve demirli beklediğini söylemiştir.","Bu senaryodaki kütle farkına rağmen; demir çivinin batıp, tonlarca ağırlıktaki demir geminin yüzmesinin fiziksel nedeni nedir?","elindeki küçük, paslı bir demir çiviyi denize fırlatmıştır. Çivi suya değer değmez ""lup"" diye dibe batmıştır. | hemen ileride tonlarca ağırlığındaki devasa bir yük gemisinin suyun üzerinde kuğu gibi süzüldüğünü görmüştür. | Babası ise geminin motorlarının şu an kapalı olduğunu ve demirli beklediğini söylemiştir.",İçindeki hava boşlukları sayesinde toplam yoğunluğunun sudan az olması
CM-1-009,compositional_reasoning,easy,"Bir mutfak masasında iki farklı bardak durmaktadır. Mavi bardak camdan yapılmıştır ve içinde taze sıkılmış portakal suyu vardır. Kırmızı bardak ise porselenden yapılmıştır ve içinde sıcak çay bulunmaktadır. Kahvaltıya gelen Emre, masadaki Mavi bardağı eline almıştır.",Emre'nin şu an elinde tuttuğu bardakta hangi içecek bulunmaktadır?,"Mavi bardak camdan yapılmıştır ve içinde taze sıkılmış portakal suyu vardır. | Emre, masadaki Mavi bardağı eline almıştır.",Portakal suyu
CM-2-027,compositional_reasoning,medium,"Bir inşaat projesinde kullanılacak vinçler, kaldırılacak yükün ağırlığına göre sınıflandırılmıştır. Ağırlığı 10 tondan fazla olan blokların taşınması için sadece ""Yüksek Kapasiteli Hidrolik Vinçler"" kullanılabilmektedir. Daha hafif yükler için ise standart kule vinçler yeterlidir. Şantiyede bulunan ""Dev-20"" isimli vinç bir yüksek kapasiteli hidrolik vinçtir, ""Kule-X"" ise standart bir kule vinçtir. Bugün şantiyeye montaj için 15 ton ağırlığında dev bir beton blok getirilmiştir.","Şantiyedeki vinç kapasite kuralları ve mevcut araç parkı dikkate alındığında, yeni gelen beton bloğun taşınması için hangi isimdeki vincin kullanılması zorunludur?","Ağırlığı 10 tondan fazla olan blokların taşınması için sadece ""Yüksek Kapasiteli Hidrolik Vinçler"" kullanılabilmektedir. | Şantiyede bulunan ""Dev-20"" isimli vinç bir yüksek kapasiteli hidrolik vinçtir. | Bugün şantiyeye montaj için 15 ton ağırlığında dev bir beton blok getirilmiştir.",Dev-20
CM-3-001,compositional_reasoning,hard,"Bir hastanenin acil ulaşım biriminde ambulans pilotları ve araçların durumu titizlikle takip edilmektedir. Hava ambulansını kullanma yetkisi sadece ""Tip-1"" lisansına sahip kıdemli pilotlara verilmiştir. Hastane yönetmeliğine göre, bir pilotun kesintisiz uçuş süresi 4 saati aşarsa, bu pilotun uçuşu bitince en az 2 saat dinlenmesi zorunludur. Bugün ekipte Kaan ""Tip-1"" lisansına sahiptir ve uçuşunu saat 12:00'de tamamlamıştır (öncesinde 5 saat kesintisiz uçmuştur). Mert ise ""Tip-2"" lisansına sahiptir ve tüm gün müsaittir. Diğer pilot Ece, ""Tip-1"" lisansına sahiptir ve sabah saatlerinden beri görev beklemektedir. Saat 13:00 itibarıyla acil bir hava ambulansı çağrısı gelmiştir.","Hastane yönetmeliği, lisans türleri ve pilotların güncel durumları dikkate alındığında, saat 13:00'teki hava ambulansı görevine hangi pilotun çıkması zorunludur?","Hava ambulansını kullanma yetkisi sadece ""Tip-1"" lisansına sahip kıdemli pilotlara verilmiştir. | bir pilotun kesintisiz uçuş süresi 4 saati aşarsa, bu pilotun uçuşu bitince en az 2 saat dinlenmesi zorunludur. | Kaan ""Tip-1"" lisansına sahiptir ve uçuşunu saat 12:00'de tamamlamıştır (öncesinde 5 saat kesintisiz uçmuştur). | Ece, ""Tip-1"" lisansına sahiptir ve sabah saatlerinden beri görev beklemektedir.",Ece
LR-1-050,logical_inference,easy,"""TechNova"" yazılım ofisinde Arda, Berk, Can ve Derya isimli dört geliştirici, proje tesliminden önceki son hafta Pazartesi'den Perşembe'ye kadar (4 gün) sırayla ""Kod İnceleme"" (Code Review) nöbeti tutmuşlardır. Ofiste sürekli mekanik klavye sesleri yankılanmakta ve herkes kahve tüketmektedir. Takım liderinin belirlediği nöbet çizelgesine göre: Her gün sadece bir kişi kodları incelemiştir. Berk, haftanın en yorgun olunan son günü (Perşembe) nöbet tutmayı tercih etmiştir. Arda, tecrübesi gereği Can'dan daha önceki bir günde kodları incelemiştir. Ancak Arda ve Can'ın kodlama stilleri çok farklı olduğu için, Can nöbetini Arda'dan hemen sonraki gün (peş peşe) tutmamıştır; araya başka bir geliştirici girmiştir. Derya ise Pazartesi sendromu yaşadığı ve sabah trafiğine kaldığı için haftanın ilk günü (Pazartesi) nöbet tutmamıştır.",Bu bilgilere göre; Derya (Deniz) hangi gün kod inceleme yapmış olabilir?,"Pazartesi'den Perşembe'ye kadar (4 gün) sırayla ""Kod İnceleme"" (Code Review) nöbeti tutmuşlardır. | Berk, haftanın en yorgun olunan son günü (Perşembe) nöbet tutmayı tercih etmiştir. | Arda, tecrübesi gereği Can'dan daha önceki bir günde kodları incelemiştir. | Can nöbetini Arda'dan hemen sonraki gün (peş peşe) tutmamıştır; araya başka bir geliştirici girmiştir. | Derya ise Pazartesi sendromu yaşadığı ve sabah trafiğine kaldığı için haftanın ilk günü (Pazartesi) nöbet tutmamıştır.",Salı Günü
